date,spx,dax,ftse,nikkei
2004-07-02,1125.38,3998.77,4407.4,11721.49
2004-07-05,1125.38,3995.73,4403.3,11541.71
2004-07-06,1116.21,3944.88,4370.7,11475.27
2004-07-07,1118.33,3930.58,4358.4,11384.86
2004-07-08,1109.11,3934.48,4381.1,11322.23
2004-07-09,1112.81,3924.49,4393.2,11423.53
2004-07-12,1114.35,3893.24,4360.0,11582.28
2004-07-13,1115.14,3903.88,4357.7,11608.62
2004-07-14,1111.47,3898.84,4372.6,11356.65
2004-07-15,1106.69,3847.19,4340.7,11409.14
2004-07-16,1101.39,3845.93,4339.2,11436.0
2004-07-19,1100.9,3812.63,4321.1,11436.0
2004-07-20,1108.67,3837.6,4339.4,11258.37
2004-07-21,1093.88,3877.48,4377.3,11433.86
2004-07-22,1096.84,3801.05,4306.3,11285.04
2004-07-23,1086.2,3797.33,4326.3,11187.33
2004-07-26,1084.07,3752.59,4287.0,11159.55
2004-07-27,1094.83,3814.08,4324.9,11031.54
2004-07-28,1095.42,3807.21,4356.3,11204.37
2004-07-29,1100.43,3889.68,4418.7,11116.84
2004-07-30,1101.72,3895.61,4413.1,11325.78
2004-08-02,1106.62,3862.71,4415.7,11222.24
2004-08-03,1099.69,3877.32,4429.7,11140.57
2004-08-04,1098.63,3823.74,4408.1,11010.02
2004-08-05,1080.7,3829.03,4413.4,11060.89
2004-08-06,1063.97,3727.74,4337.9,10972.57
2004-08-09,1065.22,3690.33,4314.4,10908.7
2004-08-10,1079.04,3720.64,4350.9,10953.55
2004-08-11,1075.79,3678.91,4312.2,11049.46
2004-08-12,1063.23,3658.11,4328.1,11028.07
2004-08-13,1064.8,3646.99,4301.5,10757.2
2004-08-16,1079.34,3699.11,4350.2,10687.81
2004-08-17,1081.71,3705.73,4358.7,10725.97
2004-08-18,1095.17,3726.5,4355.3,10774.26
2004-08-19,1091.23,3722.99,4362.6,10903.53
2004-08-20,1098.35,3712.61,4369.2,10889.14
2004-08-23,1095.68,3772.14,4405.3,10960.97
2004-08-24,1096.19,3771.0,4407.5,10985.33
2004-08-25,1104.96,3788.88,4411.6,11130.02
2004-08-26,1105.09,3832.28,4453.9,11129.33
2004-08-27,1107.77,3851.18,4490.1,11209.59
2004-08-30,1099.15,3838.85,4490.1,11184.53
2004-08-31,1104.24,3785.21,4459.3,11081.79
2004-09-01,1105.91,3817.62,4502.1,11127.35
2004-09-02,1118.31,3833.45,4518.6,11152.75
2004-09-03,1113.63,3866.99,4550.8,11022.49
2004-09-06,1113.63,3887.58,4563.8,11244.37
2004-09-07,1121.3,3889.04,4565.6,11298.94
2004-09-08,1116.27,3884.16,4558.4,11279.19
2004-09-09,1118.38,3851.22,4538.0,11170.96
2004-09-10,1123.92,3886.03,4545.0,11083.23
2004-09-13,1125.82,3953.31,4558.5,11253.11
2004-09-14,1128.33,3947.75,4545.6,11295.58
2004-09-15,1120.37,3941.75,4548.5,11158.58
2004-09-16,1123.5,3963.65,4556.5,11139.36
2004-09-17,1128.55,3988.07,4591.0,11082.49
2004-09-20,1122.2,3977.68,4579.5,11082.49
2004-09-21,1129.3,3991.02,4608.4,11080.87
2004-09-22,1113.56,3942.35,4592.3,11019.41
2004-09-23,1108.36,3905.66,4568.3,11019.41
2004-09-24,1110.11,3910.3,4578.1,10895.16
2004-09-27,1103.52,3874.37,4541.2,10859.32
2004-09-28,1110.06,3882.27,4567.3,10815.57
2004-09-29,1114.8,3920.36,4588.1,10786.1
2004-09-30,1114.58,3892.9,4570.8,10823.57
2004-10-01,1131.5,3994.96,4659.7,10985.17
2004-10-04,1135.17,4033.28,4681.8,11279.63
2004-10-05,1134.48,4048.71,4707.1,11281.83
2004-10-06,1142.05,4049.66,4706.3,11385.38
2004-10-07,1130.65,4043.36,4698.7,11354.59
2004-10-08,1122.14,4015.54,4698.9,11349.35
2004-10-11,1124.39,4017.82,4685.5,11349.35
2004-10-12,1121.84,3966.48,4647.9,11201.81
2004-10-13,1113.65,3976.03,4634.8,11195.99
2004-10-14,1103.29,3940.46,4629.4,11034.29
2004-10-15,1108.2,3922.11,4622.7,10982.95
